Date,Narration,Chq/Ref Number,Withdrawal (INR),Deposit (INR),Closing Balance (INR)
01-06-2026,CREDIT SALARY TECHNO CORP,PAYROLL/2026-06,,125000.00,125000.00
02-06-2026,RENT PAYMENT TO PROPERTY OWNER,UPI/RENT/001,22000.00,,103000.00
03-06-2026,NETFLIX PREMIUM PLAN MONTHLY,SUB/NFLX/101,649.00,,102351.00
03-06-2026,SWIGGY RESTAURANT ORDER #7823,UPI/SWG/001,485.00,,101866.00
04-06-2026,ZOMATO ORDER #45210,UPI/ZOM/002,620.00,,101246.00
05-06-2026,AMAZON PAY GROCERY SUPPLIES,UPI/AMZ/003,2399.00,,98847.00
05-06-2026,UBER TRIP TO AIRPORT MUMBAI,UPI/UBR/004,450.00,,98397.00
06-06-2026,ELECTRICITY BILL JUNE 2026,BILL/ELE/001,3400.00,,94997.00
07-06-2026,RELIANCE JIO PREPAID RECHARGE,UPI/JIO/005,2999.00,,91998.00
08-06-2026,DMART WEEKLY GROCERY STORE,UPI/DMT/006,2150.00,,89848.00
09-06-2026,AMAZON PRIME MEMBERSHIP RENEWAL,SUB/AMZ/102,1499.00,,88349.00
10-06-2026,OLA CAB RIDE TO OFFICE,UPI/OLA/007,320.00,,88029.00
10-06-2026,SIP HDFC MIDCAP OPPORTUNITIES,SIP/HDFC/201,7500.00,,80529.00
11-06-2026,NEFT/RELIANCE INDUSTRIES,REF/NE/001,2500.00,,78029.00
12-06-2026,ACT FIBERNET BROADBAND PLAN,BILL/ACT/002,999.00,,77030.00
13-06-2026,ZOMATO PIZZA HUT DELIVERY,UPI/ZOM/008,890.00,,76140.00
14-06-2026,PHONE BILL POSTPAID CONNECTION,BILL/PHN/003,1250.00,,74890.00
15-06-2026,MAKEMYTRIP FLIGHT BOMBAY-DELHI,TKT/MMT/001,6200.00,,68690.00
16-06-2026,DMART EXPRESS STORE VISIT,UPI/DMT/009,1780.00,,66910.00
17-06-2026,IRCTC TRAIN TICKET TATKAL,TKT/IR/002,1450.00,,65460.00
18-06-2026,SIP AXIS SMALL CAP FUND,SIP/AXIS/202,5000.00,,60460.00
