Date,Narration,Chq/Ref Number,Withdrawal (INR),Deposit (INR),Closing Balance (INR)
01-01-2026,CREDIT SALARY ABC CORP,PAYROLL/001,,85000.00,85000.00
02-01-2026,RENT PAYMENT TO LANDLORD,UPI/1001,15000.00,,70000.00
03-01-2026,SWIGGY FOOD ORDER,UPI/1002,450.00,,69550.00
03-01-2026,ZOMATO RESTAURANT,UPI/1003,620.00,,68930.00
04-01-2026,AMAZON ONLINE SHOPPING,UPI/1004,3499.00,,65431.00
05-01-2026,NETFLIX SUBSCRIPTION,SUB/101,649.00,,64782.00
05-01-2026,UBER TRIP AIRPORT,UPI/1005,450.00,,64332.00
06-01-2026,ELECTRICITY BILL JAN,BILL/201,2800.00,,61532.00
07-01-2026,JIO RECHARGE PREPAID,UPI/1006,2999.00,,58533.00
08-01-2026,DMART GROCERY STORE,UPI/1007,1850.00,,56683.00
09-01-2026,OLA CAB RIDE,UPI/1008,380.00,,56303.00
10-01-2026,SIP HDFC BALANCED FUND,SIP/301,5000.00,,51303.00
11-01-2026,ITC LIMITED SHARE PURCHASE,STK/401,1200.00,,50103.00
12-01-2026,ACT FIBERNET BROADBAND,BILL/202,999.00,,49104.00
13-01-2026,ZOMATO PIZZA DELIVERY,UPI/1009,540.00,,48564.00
14-01-2026,PHONE BILL POSTPAID,BILL/203,850.00,,47714.00
15-01-2026,AMAZON PRIME MEMBERSHIP,SUB/102,1499.00,,46215.00
16-01-2026,SWIGGY INSTAMART GROCERY,UPI/1010,780.00,,45435.00
17-01-2026,IRCTC TRAIN TICKET DELHI,TKT/501,1250.00,,44185.00
18-01-2026,DMART WEEKLY SHOPPING,UPI/1011,2340.00,,41845.00
19-01-2026,SIP AXIS BLUECHIP FUND,SIP/302,5000.00,,36845.00
20-01-2026,MAKEMYTRIP FLIGHT MUM-DEL,TKT/502,5200.00,,31645.00
21-01-2026,APOLLO MEDICAL CONSULT,UPI/1012,1500.00,,30145.00
22-01-2026,PIZZA HUT DINE-IN,UPI/1013,890.00,,29255.00
23-01-2026,FUEL INDIAN OIL PETROL,UPI/1014,500.00,,28755.00
24-01-2026,EMI CAR LOAN JANUARY,LOAN/601,12500.00,,16255.00
25-01-2026,MOBILE RECHARGE PREPAID,UPI/1015,349.00,,15906.00
26-01-2026,BIGBASKET ESSENTIALS,UPI/1016,1200.00,,14706.00
27-01-2026,SPOTIFY PREMIUM SUB,SUB/103,119.00,,14587.00
28-01-2026,GOOGLE ONE STORAGE,SUB/104,130.00,,14457.00
28-01-2026,AMAZON PAY LATER PAYMENT,UPI/1017,2500.00,,11957.00
29-01-2026,INTERNATIONAL TRANSACTION FEE,FX/701,200.00,,11757.00
30-01-2026,ATM WITHDRAWAL ICICI,ATM/801,5000.00,,6757.00
31-01-2026,SWIGGY NEW YEAR SPECIAL,UPI/1018,620.00,,6137.00
31-01-2026,NPS CONTRIBUTION JAN,NPS/901,3000.00,,3137.00
01-02-2026,CREDIT SALARY ABC CORP,PAYROLL/002,,85000.00,88137.00
