Date,Narration,Chq/Ref Number,Withdrawal (INR),Deposit (INR),Closing Balance (INR)
01-03-2025,CREDIT SALARY ABC CORP,PAYROLL/001,,85000.00,85000.00
02-03-2025,RENT PAYMENT TO LANDLORD,UPI/4029384756,15000.00,,70000.00
03-03-2025,SWIGGY*12345 ORDER,UPI/3847561920,450.00,,69550.00
03-03-2025,ZOMATO ORDER #9876,UPI/1029384756,320.00,,69230.00
04-03-2025,AMAZON PAY*MARCH SHOPPING,UPI/5647382910,2499.00,,66731.00
05-03-2025,NETFLIX.COM SUBSCRIPTION,SUB/1001,649.00,,66082.00
05-03-2025,UBER TRIP MUMBAI,UPI/9081726354,285.00,,65797.00
06-03-2025,ELECTRICITY BILL MAR25,BILL/PAID,3200.00,,62597.00
07-03-2025,RELIANCE JIO RECHARGE,UPI/1234567890,2999.00,,59598.00
08-03-2025,DMART GROCERY SHOPPING,UPI/9876543210,1850.00,,57748.00
09-03-2025,OLA CAB AIRPORT,UPI/4567891230,560.00,,57188.00
10-03-2025,SIP HDFC BALANCED FUND,SIP/1002,5000.00,,52188.00
11-03-2025,NEFT/ITC LTD,REF/NE02394,1200.00,,50988.00
12-03-2025,BROADBILL ACT FIBERNET,BILL/23456,999.00,,49989.00
13-03-2025,ZOMATO ORDER #11223,UPI/7890123456,540.00,,49449.00
14-03-2025,PHONE BILL POSTPAID,BILL/34567,850.00,,48599.00
15-03-2025,AMAZON PRIME MEMBERSHIP,SUB/1003,1499.00,,47100.00
16-03-2025,SWIGGY*99999 INSTAMART,UPI/6789012345,780.00,,46320.00
17-03-2025,IRCTC TICKET NDLS-BCT,TKT/1004,1750.00,,44570.00
18-03-2025,DMART WEEKLY STORE,UPI/8901234567,2340.00,,42230.00
19-03-2025,SIP AXIS BLUECHIP FUND,SIP/1005,5000.00,,37230.00
20-03-2025,MAKEMYTRIP FLIGHT BOM-DEL,TKT/1006,5200.00,,32030.00
21-03-2025,URGENT MEDICAL CONSULT,UPI/9012345678,1500.00,,30530.00
22-03-2025,PIZZA HUT DINNER,UPI/7890123456,890.00,,29640.00
23-03-2025,FUEL INDIAN OIL,UPI/2345678901,500.00,,29140.00
24-03-2025,EMI CAR LOAN MARCH,LOAN/34567,12500.00,,16640.00
25-03-2025,MOBILE RECHARGE PREPAID,UPI/5678901234,349.00,,16291.00
26-03-2025,BIGBASKET ESSENTIALS,UPI/8901234567,1200.00,,15091.00
27-03-2025,SPOTIFY PREMIUM,SUB/1007,119.00,,14972.00
28-03-2025,GOOGLE ONE 100GB,SUB/1008,130.00,,14842.00
28-03-2025,AMAZON PAY LATER PAYMENT,UPI/3456789012,2500.00,,12342.00
29-03-2025,INTERNATIONAL TRANSACTION FEE,FX/001,200.00,,12142.00
30-03-2025,ATM WITHDRAWAL ICICI,ATM/19283,5000.00,,7142.00
31-03-2025,SWIGGY*45678 TASTYFOOD,UPI/6789012345,620.00,,6522.00
31-03-2025,NPS CONTRIBUTION,NPS/1009,3000.00,,3522.00
01-04-2025,CREDIT SALARY ABC CORP,PAYROLL/002,,85000.00,88522.00
02-04-2025,RENT PAYMENT TO LANDLORD,UPI/4029384757,15000.00,,73522.00
03-04-2025,NETFLIX.COM SUBSCRIPTION,SUB/1010,649.00,,72873.00
04-04-2025,ZOMATO ORDER #11567,UPI/1029384757,450.00,,72423.00
05-04-2025,ELECTRICITY BILL APR25,BILL/PAID2,3100.00,,69323.00
06-04-2025,FLIPKART ELECTRONICS,UPI/5647382911,7999.00,,61324.00
07-04-2025,UBER TRIP TO OFFICE,UPI/9081726355,320.00,,61004.00
08-04-2025,SIP HDFC BALANCED FUND,SIP/1011,5000.00,,56004.00
09-04-2025,BROADBILL ACT FIBERNET,BILL/23457,999.00,,55005.00
10-04-2025,AMAZON PAY RECHARGE,UPI/1234567891,1000.00,,54005.00
11-04-2025,DMART GROCERY,UPI/9876543211,2100.00,,51905.00
12-04-2025,EMI CAR LOAN APRIL,LOAN/34568,12500.00,,39405.00
13-04-2025,SIP AXIS BLUECHIP FUND,SIP/1012,5000.00,,34405.00
14-04-2025,SPOTIFY PREMIUM,SUB/1013,119.00,,34286.00
15-04-2025,SWIGGY*23456 QUICKFOOD,UPI/6789012346,380.00,,33906.00
16-04-2025,PHONE BILL POSTPAID,BILL/34569,850.00,,33056.00
17-04-2025,GOOGLE ONE 100GB,SUB/1014,130.00,,32926.00
18-04-2025,MAKEMYTRIP HOTEL BOOKING,TKT/1015,3450.00,,29476.00
19-04-2025,ZOMATO ORDER #11890,UPI/1029384758,620.00,,28856.00
20-04-2025,ATM WITHDRAWAL HDFC,ATM/28374,4000.00,,24856.00
21-04-2025,INVESTMENT PPF DEPOSIT,PPF/1016,12500.00,,12356.00
22-04-2025,RELIANCE JIO RECHARGE,UPI/1234567892,2999.00,,9357.00
23-04-2025,DMART SHOPPING,UPI/9876543212,1870.00,,7487.00
24-04-2025,URGENT MEDICINE,UPI/9012345679,450.00,,7037.00
25-04-2025,INTERNATIONAL TRANSACTION FEE,FX/002,200.00,,6837.00
26-04-2025,BIGBASKET MONTHLY,UPI/8901234568,1550.00,,5287.00
27-04-2025,REVERSAL/FAILED TRANSACTION,REF/1017,0.00,,5287.00
28-04-2025,NPS CONTRIBUTION,NPS/1018,3000.00,,2287.00
